x_red,x_yellow,x_green,s_red,s_yellow,s_green
25.4881848,4.211175381,13.05946292,1411.696326,1504.285237,1465.78108
27.26764671,4.211175381,14.83205265,1403.95283,1504.285237,1458.067489
25.4881848,4.211175381,16.60562169,1411.696326,1504.285237,1450.349637
29.04809363,5.978880765,18.38017084,1396.205048,1496.592901,1442.627519
25.4881848,5.978880765,20.15570091,1411.696326,1496.592901,1434.901132
27.26764671,5.978880765,16.60562169,1403.95283,1496.592901,1450.349637
25.4881848,5.978880765,21.93221272,1411.696326,1496.592901,1427.170474
27.26764671,5.978880765,20.15570091,1403.95283,1496.592901,1434.901132
27.26764671,5.978880765,16.60562169,1403.95283,1496.592901,1450.349637
29.04809363,5.978880765,18.38017084,1396.205048,1496.592901,1442.627519
30.82952636,5.978880765,20.15570091,1388.452975,1496.592901,1434.901132
27.26764671,5.978880765,25.4881848,1403.95283,1496.592901,1411.696326
29.04809363,5.978880765,20.15570091,1396.205048,1496.592901,1434.901132
27.26764671,5.978880765,29.04809363,1403.95283,1496.592901,1396.205048
29.04809363,5.978880765,25.4881848,1396.205048,1496.592901,1411.696326
25.4881848,5.978880765,18.38017084,1411.696326,1496.592901,1442.627519
27.26764671,5.978880765,29.04809363,1403.95283,1496.592901,1396.205048
29.04809363,5.978880765,18.38017084,1396.205048,1496.592901,1442.627519
25.4881848,5.978880765,25.4881848,1411.696326,1496.592901,1411.696326
29.04809363,5.978880765,23.70970708,1396.205048,1496.592901,1419.43554
25.4881848,5.978880765,16.60562169,1411.696326,1496.592901,1450.349637
27.26764671,5.978880765,32.61194572,1403.95283,1496.592901,1380.69661
29.04809363,5.978880765,20.15570091,1396.205048,1496.592901,1434.901132
27.26764671,5.978880765,25.4881848,1403.95283,1496.592901,1411.696326
29.04809363,5.978880765,32.61194572,1396.205048,1496.592901,1380.69661
27.26764671,5.978880765,30.82952636,1403.95283,1496.592901,1388.452975
30.82952636,5.978880765,25.4881848,1388.452975,1496.592901,1411.696326
29.04809363,5.978880765,30.82952636,1396.205048,1496.592901,1388.452975
27.26764671,5.978880765,29.04809363,1403.95283,1496.592901,1396.205048
30.82952636,5.978880765,25.4881848,1388.452975,1496.592901,1411.696326
30.82952636,5.978880765,21.93221272,1388.452975,1496.592901,1427.170474
30.82952636,5.978880765,23.70970708,1388.452975,1496.592901,1419.43554
32.61194572,5.978880765,25.4881848,1380.69661,1496.592901,1411.696326
30.82952636,5.978880765,29.04809363,1388.452975,1496.592901,1396.205048
32.61194572,5.978880765,25.4881848,1380.69661,1496.592901,1411.696326
32.61194572,5.978880765,27.26764671,1380.69661,1496.592901,1403.95283
30.82952636,5.978880765,29.04809363,1388.452975,1496.592901,1396.205048
36.17974765,5.978880765,27.26764671,1365.170983,1496.592901,1403.95283
29.04809363,5.978880765,23.70970708,1396.205048,1496.592901,1419.43554
32.61194572,5.978880765,29.04809363,1380.69661,1496.592901,1396.205048
30.82952636,5.978880765,30.82952636,1388.452975,1496.592901,1388.452975
32.61194572,5.978880765,25.4881848,1380.69661,1496.592901,1411.696326
32.61194572,5.978880765,30.82952636,1380.69661,1496.592901,1388.452975
