Time,36.97c,24.52c,0c,Time2,12.27c,4.09c,16.36c
62,2.8875,3.54375,4.33125,61,3.80625,0.39375,4.2
62,2.625,3.54375,4.33125,61,3.80625,0.525,4.2
63,2.75625,3.54375,4.33125,61,3.9375,0.39375,4.2
63,3.15,3.54375,4.33125,61,3.80625,0.525,4.2
63,2.75625,3.675,4.33125,61,3.80625,0.39375,4.2
63,2.8875,3.54375,4.33125,62,3.80625,0.525,4.2
63,3.01875,3.675,4.33125,62,3.9375,0.65625,4.2
63,2.8875,3.54375,4.4625,62,3.80625,0.7875,4.2
63,2.75625,3.675,4.33125,62,3.9375,0.65625,4.2
63,3.01875,3.54375,4.33125,62,3.80625,0.525,4.2
63,2.8875,3.675,4.33125,63,3.80625,0.65625,4.2
63,3.15,3.675,4.33125,63,3.80625,0.525,4.2
64,3.01875,3.54375,4.33125,63,3.9375,0.65625,4.2
64,2.8875,3.675,4.4625,63,3.80625,0.525,4.2
64,3.01875,3.54375,4.33125,64,3.80625,0.525,4.2
64,2.8875,3.675,4.33125,64,3.80625,0.65625,4.2
64,3.01875,3.54375,4.33125,64,3.9375,0.525,4.2
64,3.15,3.675,4.33125,64,3.80625,0.65625,4.2
64,3.01875,3.675,4.33125,65,3.80625,0.91875,4.2
65,2.625,3.675,4.4625,65,3.80625,1.05,4.2
65,3.28125,3.675,4.33125,65,3.9375,0.91875,4.2
65,3.01875,3.675,4.33125,65,3.80625,0.7875,4.2
65,3.15,3.675,4.33125,65,3.80625,0.91875,4.2
65,2.8875,3.675,4.33125,66,3.9375,0.7875,4.2
65,3.01875,3.675,4.4625,66,3.80625,0.91875,4.2
65,2.8875,3.675,4.33125,66,3.80625,0.7875,4.33125
65,3.15,3.675,4.4625,66,3.9375,0.91875,4.2
66,2.8875,3.675,4.33125,66,3.80625,0.7875,4.2
66,3.15,3.675,4.4625,66,3.9375,1.05,4.33125
66,3.01875,3.675,4.33125,66,3.80625,1.18125,4.2
66,3.01875,3.675,4.4625,67,3.80625,0.7875,4.33125
66,3.15,3.675,4.33125,67,3.80625,0.91875,4.2
66,3.01875,3.675,4.33125,67,3.9375,0.7875,4.33125
66,3.01875,3.675,4.4625,67,3.80625,1.18125,4.2
67,3.15,3.675,4.33125,67,3.9375,1.05,4.33125
67,3.01875,3.80625,4.4625,67,3.80625,0.91875,4.2
67,3.15,3.675,4.33125,67,3.9375,0.7875,4.2
67,3.01875,3.80625,4.4625,68,3.9375,0.91875,4.33125
67,3.15,3.675,4.33125,68,3.9375,1.05,4.2
67,3.01875,3.80625,4.4625,68,3.80625,1.18125,4.33125
68,3.15,3.675,4.33125,68,3.9375,1.05,4.33125
68,3.01875,3.675,4.33125,68,3.80625,0.65625,4.33125
68,3.15,3.675,4.4625,69,3.80625,0.91875,4.33125
68,3.01875,3.675,4.33125,69,3.9375,1.05,4.33125
68,3.15,3.675,4.4625,69,3.80625,1.18125,4.33125
68,3.01875,3.80625,4.4625,69,3.9375,1.05,4.33125
68,3.15,3.675,4.33125,69,3.80625,1.18125,4.33125
69,3.01875,3.80625,4.4625,69,3.9375,1.05,4.33125
69,3.15,3.675,4.33125,70,3.80625,1.3125,4.33125
69,3.15,3.80625,4.4625,70,3.9375,1.05,4.33125
69,3.15,3.80625,4.4625,70,3.80625,1.3125,4.33125
69,3.15,3.80625,4.33125,70,3.9375,1.18125,4.33125
70,3.15,3.675,4.4625,70,3.80625,1.3125,4.33125
70,3.15,3.80625,4.33125,70,3.9375,1.575,4.33125
70,3.15,3.80625,4.4625,71,3.80625,1.3125,4.33125
70,3.28125,3.675,4.33125,71,3.9375,1.3125,4.33125
70,3.15,3.80625,4.4625,71,3.9375,1.44375,4.33125
71,3.28125,3.675,4.33125,71,3.9375,1.575,4.33125
71,3.15,3.80625,4.4625,71,3.9375,1.70625,4.33125
71,3.28125,3.675,4.33125,71,3.9375,1.44375,4.33125
71,3.15,3.80625,4.4625,71,3.9375,1.575,4.33125
71,3.28125,3.675,4.33125,72,3.9375,1.44375,4.33125
71,3.15,3.80625,4.33125,72,3.9375,1.3125,4.33125
71,3.28125,3.675,4.4625,72,3.80625,1.575,4.33125
72,3.15,3.80625,4.33125,72,3.9375,1.44375,4.33125
72,3.15,3.80625,4.4625,72,3.9375,1.70625,4.4625
72,3.28125,3.80625,4.33125,72,3.80625,1.575,4.33125
72,3.15,3.80625,4.4625,72,3.9375,1.575,4.33125
72,3.15,3.675,4.33125,73,3.80625,1.575,4.33125
72,3.28125,3.80625,4.4625,73,3.9375,1.44375,4.33125
72,3.28125,3.80625,4.33125,73,3.9375,1.575,4.4625
73,3.28125,3.80625,4.4625,73,3.9375,1.575,4.33125
73,3.28125,3.80625,4.33125,73,3.80625,1.575,4.4625
73,3.28125,3.80625,4.33125,73,3.9375,1.44375,4.33125
73,3.28125,3.80625,4.33125,74,3.9375,1.70625,4.4625
74,3.28125,3.80625,4.33125,74,3.9375,1.575,4.33125
74,3.28125,3.80625,4.33125,74,3.9375,1.44375,4.33125
74,3.28125,3.80625,4.33125,74,3.9375,1.575,4.4625
74,3.4125,3.80625,4.33125,75,3.9375,1.70625,4.4625
74,3.28125,3.80625,4.4625,75,3.9375,1.8375,4.33125
74,3.4125,3.80625,4.33125,75,3.9375,1.70625,4.4625
74,3.28125,3.80625,4.33125,76,3.9375,1.44375,4.33125
75,3.4125,3.80625,4.33125,76,3.9375,1.70625,4.4625
75,3.28125,3.80625,4.4625,76,3.80625,1.8375,4.33125
75,3.4125,3.80625,4.33125,76,3.9375,1.70625,4.4625
75,3.4125,3.80625,4.33125,76,3.9375,1.96875,4.33125
76,3.28125,3.80625,4.4625,77,3.9375,1.8375,4.4625
76,3.4125,3.80625,4.33125,77,3.9375,1.96875,4.33125
76,3.4125,3.80625,4.4625,77,3.9375,2.23125,4.4625
76,3.4125,3.80625,4.33125,78,3.9375,2.3625,4.33125
76,3.4125,3.80625,4.4625,78,3.9375,2.23125,4.4625
77,3.4125,3.80625,4.4625,78,3.9375,1.96875,4.4625
77,3.4125,3.80625,4.33125,78,3.9375,2.3625,4.4625
77,3.4125,3.80625,4.4625,78,3.9375,2.75625,4.4625
78,3.4125,3.80625,4.4625,79,3.9375,2.75625,4.33125
78,3.4125,3.80625,4.4625,79,3.9375,2.625,4.4625
78,3.4125,3.80625,4.33125,79,3.9375,2.75625,4.4625
78,3.4125,3.80625,4.4625,80,3.9375,2.625,4.4625
79,3.4125,3.80625,4.33125,80,3.9375,2.49375,4.4625
79,3.54375,3.80625,4.4625,80,3.9375,2.3625,4.4625
79,3.4125,3.9375,4.4625,80,3.9375,2.625,4.4625
79,3.4125,3.80625,4.33125,81,3.9375,2.75625,4.4625
79,3.54375,3.80625,4.4625,81,3.9375,3.28125,4.33125
80,3.54375,3.80625,4.4625,81,3.9375,2.75625,4.4625
80,3.54375,3.80625,4.4625,81,3.9375,2.3625,4.4625
