Time,60 F,65 F,70 F,Time,68 F
46.00,1.18125,2.36,3.81,50,4.33125
46.00,1.18125,2.36,3.94,50,4.33125
47.00,1.3125,2.36,3.68,50,4.33125
47.00,1.18125,2.49,3.81,50,4.33125
47.00,1.18125,2.36,3.81,50,4.33125
47.00,1.3125,2.49,3.81,50,4.2
47.00,1.3125,2.49,3.81,51,4.33125
48.00,1.3125,2.49,3.81,51,4.2
48.00,1.18125,2.49,3.81,51,4.33125
48.00,1.18125,2.49,3.81,51,4.33125
48.00,1.18125,2.49,3.94,51,4.33125
49.00,1.18125,2.49,3.81,51,4.33125
49.00,1.44375,2.63,3.94,51,4.33125
49.00,1.44375,2.63,3.81,51,4.33125
49.00,1.3125,2.63,3.94,51,4.33125
49.00,1.3125,2.63,3.81,52,4.33125
50.00,1.18125,2.63,3.94,52,4.33125
50.00,1.3125,2.63,3.81,52,4.33125
50.00,1.3125,2.63,3.94,52,4.33125
50.00,1.44375,2.63,3.94,52,4.33125
51.00,1.3125,2.63,3.94,52,4.33125
51.00,1.3125,2.76,3.94,52,4.2
51.00,1.44375,2.63,3.94,52,4.33125
51.00,1.44375,2.76,3.94,53,4.33125
51.00,1.575,2.63,3.94,53,4.33125
51.00,1.44375,2.76,3.94,53,4.33125
51.00,1.575,2.76,3.94,53,4.33125
51.00,1.44375,2.89,3.94,53,4.33125
52.00,1.575,2.76,3.94,53,4.33125
52.00,1.44375,2.89,3.94,53,4.33125
52.00,1.575,2.89,3.94,53,4.33125
52.00,1.44375,2.89,3.94,53,4.33125
52.00,1.575,2.89,4.07,53,4.33125
53.00,1.575,2.89,3.94,54,4.33125
53.00,1.70625,2.89,4.07,54,4.33125
53.00,1.44375,2.76,3.94,54,4.33125
53.00,1.575,2.89,4.07,54,4.33125
53.00,1.575,2.76,3.94,54,4.2
53.00,1.44375,2.89,3.94,54,4.2
54.00,1.575,2.76,4.07,55,4.33125
54.00,1.70625,2.89,4.07,55,4.2
54.00,1.575,2.89,3.94,55,4.33125
54.00,1.70625,2.89,4.07,55,4.33125
54.00,1.70625,2.89,4.07,55,4.33125
55.00,1.8375,3.02,4.07,55,4.33125
55.00,1.8375,2.89,4.07,55,4.33125
55.00,1.8375,3.02,4.07,55,4.33125
55.00,1.70625,3.02,4.07,55,4.33125
55.00,1.8375,3.02,4.07,56,4.33125
55.00,1.70625,2.89,4.07,56,4.33125
56.00,1.8375,3.02,4.07,56,4.33125
56.00,1.96875,3.02,4.07,56,4.33125
56.00,1.8375,3.02,4.07,56,4.33125
56.00,1.8375,3.02,4.07,56,4.33125
56.00,1.8375,3.15,4.07,57,4.33125
56.00,1.96875,3.02,4.07,57,4.33125
57.00,1.8375,3.02,4.07,57,4.33125
57.00,1.96875,3.15,4.07,57,4.33125
57.00,1.8375,3.15,4.07,57,4.33125
57.00,1.8375,3.28,4.07,57,4.33125
58.00,1.96875,3.15,4.07,57,4.33125
58.00,1.8375,3.15,4.07,58,4.33125
58.00,1.70625,3.15,4.07,58,4.33125
58.00,1.96875,3.28,4.07,58,4.33125
58.00,1.96875,3.28,4.07,58,4.33125
58.00,2.1,3.28,4.07,58,4.33125
59.00,1.96875,3.15,4.07,58,4.33125
59.00,2.1,3.41,4.07,58,4.33125
59.00,1.96875,3.28,4.07,59,4.33125
59.00,2.1,3.15,4.07,59,4.33125
59.00,1.96875,3.41,4.07,59,4.33125
59.00,2.1,3.28,4.07,59,4.33125
59.00,1.96875,3.15,4.07,59,4.33125
59.00,2.1,3.28,4.07,59,4.33125
60.00,1.96875,3.41,4.07,59,4.33125
60.00,2.1,3.28,4.07,59,4.33125
60.00,2.1,3.41,4.07,59,4.33125
60.00,1.96875,3.41,4.07,60,4.33125
60.00,2.1,3.54,4.07,60,4.33125
61.00,2.1,3.41,4.07,60,4.33125
61.00,1.96875,3.54,4.07,60,4.33125
61.00,2.1,3.41,4.20,60,4.33125
61.00,2.1,3.54,4.07,60,4.33125
61.00,2.1,3.41,4.07,60,4.33125
62.00,2.1,3.54,4.07,60,4.33125
62.00,2.1,3.41,4.07,60,4.33125
62.00,2.1,3.54,4.20,61,4.33125
62.00,1.96875,3.41,4.07,61,4.33125
62.00,2.1,3.54,4.20,61,4.33125
62.00,1.96875,3.41,4.07,61,4.33125
63.00,2.1,3.68,4.20,61,4.33125
63.00,2.1,3.54,4.07,61,4.33125
63.00,2.1,3.68,4.20,61,4.33125
63.00,2.1,3.54,4.07,61,4.33125
63.00,2.1,3.68,4.07,61,4.33125
63.00,2.23125,3.54,4.07,61,4.33125
63.00,2.23125,3.68,4.20,61,4.33125
63.00,2.1,3.54,4.07,62,4.33125
64.00,2.23125,3.68,4.20,62,4.33125
64.00,2.23125,3.54,4.20,62,4.33125
64.00,2.23125,3.68,4.07,62,4.33125
64.00,2.23125,3.54,4.07,62,4.33125
64.00,2.23125,3.68,4.20,62,4.33125
64.00,2.23125,3.54,4.07,62,4.33125
65.00,2.23125,3.68,4.20,62,4.33125
65.00,2.23125,3.68,4.20,62,4.33125
65.00,2.3625,3.68,4.07,62,4.33125
65.00,2.23125,3.81,4.07,63,4.33125
65.00,2.3625,3.68,4.07,63,4.33125
65.00,2.23125,3.54,4.20,63,4.33125
65.00,2.23125,3.68,4.07,63,4.33125
65.00,2.3625,3.81,4.20,63,4.33125
66.00,2.3625,3.68,4.07,63,4.4625
66.00,2.3625,3.54,4.20,63,4.33125
66.00,2.3625,3.81,4.07,63,4.33125
66.00,2.3625,3.68,4.07,63,4.33125
66.00,2.3625,3.54,4.07,63,4.33125
66.00,2.3625,3.68,4.07,64,4.33125
66.00,2.49375,3.81,4.07,64,4.4625
66.00,2.49375,3.54,4.20,64,4.33125
67.00,2.49375,3.68,4.07,64,4.33125
67.00,2.625,3.81,4.07,64,4.33125
67.00,2.3625,3.68,4.07,64,4.33125
67.00,2.49375,3.54,4.07,64,4.33125
67.00,2.49375,3.68,4.07,65,4.4625
67.00,2.49375,3.68,4.07,65,4.33125
67.00,2.49375,3.54,4.07,65,4.33125
68.00,2.49375,3.81,4.07,65,4.33125
68.00,2.625,3.68,4.20,65,4.33125
68.00,2.625,3.68,4.07,65,4.4625
68.00,2.49375,3.81,4.07,65,4.33125
68.00,2.625,3.68,4.07,65,4.4625
68.00,2.625,3.68,4.07,66,4.33125
69.00,2.625,3.68,4.07,66,4.4625
69.00,2.625,3.68,4.07,66,4.33125
69.00,2.625,3.68,4.07,66,4.4625
69.00,2.625,3.81,4.07,66,4.33125
69.00,2.75625,3.94,4.07,66,4.33125
69.00,2.75625,3.68,4.07,66,4.4625
70.00,2.625,3.81,4.07,67,4.33125
70.00,2.75625,3.81,4.07,67,4.4625
70.00,2.75625,3.68,4.07,67,4.33125
70.00,2.75625,3.81,4.07,67,4.4625
71.00,2.75625,3.68,4.07,67,4.33125
71.00,2.75625,3.68,4.07,67,4.4625
71.00,2.8875,3.81,4.07,68,4.33125
71.00,2.75625,3.68,4.07,68,4.33125
72.00,2.75625,3.68,4.07,68,4.4625
72.00,2.75625,3.81,4.07,68,4.33125
72.00,2.8875,3.68,4.20,68,4.4625
72.00,2.8875,3.68,4.07,68,4.4625
72.00,2.8875,3.81,4.07,68,4.33125
72.00,2.8875,3.94,4.20,69,4.4625
