x_red,x_yellow,x_green,s_red,s_yellow,s_green
2.444444444,2.444444444,5.978880765,1511.973333,1511.973333,1496.592901
2.444444444,2.444444444,5.978880765,1511.973333,1511.973333,1496.592901
2.444444444,2.444444444,5.978880765,1511.973333,1511.973333,1496.592901
2.444444444,2.444444444,5.978880765,1511.973333,1511.973333,1496.592901
2.444444444,2.444444444,5.978880765,1511.973333,1511.973333,1496.592901
2.444444444,2.444444444,5.978880765,1511.973333,1511.973333,1496.592901
2.444444444,2.444444444,7.747561403,1511.973333,1511.973333,1488.89632
2.444444444,2.444444444,7.747561403,1511.973333,1511.973333,1488.89632
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,4.211175381,11.28785167,1511.973333,1504.285237,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,13.05946292,1511.973333,1511.973333,1465.78108
2.444444444,20.15570091,11.28785167,1511.973333,1434.901132,1473.490414
2.444444444,2.444444444,13.05946292,1511.973333,1511.973333,1465.78108
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,11.28785167,1511.973333,1511.973333,1473.490414
2.444444444,2.444444444,13.05946292,1511.973333,1511.973333,1465.78108
2.444444444,2.444444444,13.05946292,1511.973333,1511.973333,1465.78108
2.444444444,2.444444444,13.05946292,1511.973333,1511.973333,1465.78108
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,18.38017084,1511.973333,1511.973333,1442.627519
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,18.38017084,1511.973333,1511.973333,1442.627519
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,18.38017084,1511.973333,1511.973333,1442.627519
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,2.444444444,18.38017084,1511.973333,1511.973333,1442.627519
2.444444444,2.444444444,16.60562169,1511.973333,1511.973333,1450.349637
2.444444444,4.211175381,18.38017084,1511.973333,1504.285237,1442.627519
2.444444444,4.211175381,18.38017084,1511.973333,1504.285237,1442.627519
2.444444444,4.211175381,16.60562169,1511.973333,1504.285237,1450.349637
